trial,line_length,stim_radius,stim_period,rating
317,90,250,150,43
318,90,150,150,65
319,60,200,150,54
320,120,150,150,85
321,30,350,150,3
322,90,200,25,41
323,90,300,25,41
324,30,300,100,2
325,60,300,100,3
326,90,350,100,15
327,60,350,150,2
328,60,200,25,47
329,90,300,50,51
330,60,250,100,27
331,30,150,100,14
332,30,150,200,15
333,90,350,200,24
334,120,250,50,56
335,120,250,150,66
336,60,200,100,41
337,90,200,100,62
338,120,350,200,34
339,150,300,200,42
340,30,300,200,2
341,150,200,200,74
342,60,350,100,2
343,150,250,200,75
344,30,200,200,2
345,30,300,150,3
346,150,150,50,93
347,120,300,200,48
348,90,350,150,16
349,30,300,25,1
350,150,250,100,31
351,90,200,150,47
352,120,200,25,44
353,30,250,200,3
354,150,150,100,96
355,60,150,150,57
356,30,250,25,17
357,60,350,50,1
358,90,250,50,15
359,120,350,25,24
360,30,350,100,0
361,30,250,100,1
362,120,200,150,39
363,150,200,25,36
364,150,150,150,61
365,60,200,50,5
366,30,200,100,10
367,120,150,200,74
368,30,150,150,5
369,90,250,25,23
370,150,300,150,44
371,150,150,200,68
372,90,150,200,64
373,30,300,50,6
374,60,250,50,6
