trial,line_length,stim_radius,stim_period,rating
317,150,250,50,52
318,120,350,50,64
319,90,150,25,82
320,30,150,150,30
321,90,250,25,66
322,90,350,200,33
323,150,150,50,34
324,60,350,150,30
325,30,300,50,23
326,120,250,25,67
327,30,250,200,26
328,150,300,50,33
329,150,150,25,70
330,120,300,200,27
331,150,250,100,33
332,60,350,200,28
333,120,350,200,19
334,150,200,200,23
335,150,200,50,29
336,90,250,200,29
337,30,350,150,18
338,90,200,200,15
339,120,200,200,15
340,120,150,50,71
341,90,300,100,14
342,30,200,50,64
343,30,350,25,79
344,90,300,200,22
345,90,200,50,39
346,60,350,100,41
347,120,150,200,28
348,30,200,200,15
349,90,200,100,27
350,150,350,200,18
351,60,300,150,22
352,60,300,100,32
353,120,200,150,36
354,60,350,25,47
355,150,350,50,40
356,60,350,50,46
357,90,150,200,12
358,60,250,50,44
359,120,250,50,39
360,30,250,50,38
361,120,300,25,76
362,150,250,200,8
363,120,300,150,9
364,150,350,150,8
365,30,300,25,76
366,120,150,150,9
367,120,150,25,90
368,90,250,50,50
369,150,200,150,10
370,90,300,25,91
371,150,200,25,89
372,30,250,100,7
373,150,350,25,91
374,30,300,150,9
