trial,line_length,stim_radius,stim_period,rating
317,120,150,150,8
318,120,350,150,14
319,90,350,25,0
320,60,200,150,2
321,90,350,200,1
322,150,350,50,2
323,90,200,25,1
324,30,250,25,0
325,60,350,100,1
326,120,200,25,0
327,60,200,200,1
328,90,250,100,1
329,30,250,50,1
330,30,200,200,1
331,90,200,50,1
332,30,150,200,1
333,120,150,100,1
334,120,200,150,1
335,90,250,150,1
336,30,350,100,0
337,150,150,200,8
338,90,350,150,5
339,30,150,25,0
340,60,150,150,2
341,120,150,25,3
342,30,200,150,2
343,60,300,25,1
344,120,200,50,2
345,60,250,100,2
346,30,350,200,0
347,150,300,200,1
348,30,150,50,1
349,30,300,200,1
350,90,300,25,1
351,120,150,200,1
352,30,200,50,1
353,60,200,50,5
354,30,350,25,1
355,150,250,100,1
356,60,250,150,2
357,30,150,150,0
358,30,250,200,0
359,120,350,50,1
360,150,300,25,1
361,120,200,200,1
362,120,300,200,2
363,90,250,50,2
364,60,350,25,1
365,90,300,50,2
366,30,250,100,2
367,150,200,50,2
368,120,350,25,1
369,150,150,150,2
370,60,250,200,4
371,150,300,50,2
372,90,150,200,2
373,90,250,200,1
374,30,350,150,1
