trial,line_length,stim_radius,stim_period,rating
317,150,300,25,5
318,60,300,50,3
319,60,350,100,2
320,60,200,100,4
321,60,200,200,48
322,120,350,100,67
323,150,250,50,78
324,90,300,50,22
325,150,150,150,97
326,150,350,50,54
327,30,250,200,3
328,90,200,25,4
329,30,200,200,3
330,60,250,100,3
331,30,250,150,2
332,60,150,25,1
333,30,250,100,2
334,60,350,200,12
335,120,250,200,44
336,150,350,100,64
337,90,300,200,49
338,90,300,25,2
339,30,150,200,2
340,90,350,50,12
341,60,300,25,1
342,150,150,200,81
343,60,300,100,1
344,30,150,25,1
345,150,250,25,25
346,30,300,50,1
347,60,350,25,0
348,30,300,200,1
349,60,250,50,3
350,60,250,200,16
351,150,200,150,66
352,120,150,200,75
353,90,250,50,41
354,30,250,25,1
355,120,200,50,60
356,120,200,150,74
357,150,300,150,62
358,60,300,200,1
359,150,350,25,2
360,30,200,50,1
361,60,150,200,80
362,30,350,150,1
363,30,300,150,2
364,90,200,50,74
365,150,200,200,81
366,90,150,50,87
367,150,250,100,77
368,150,150,100,98
369,30,150,50,2
370,90,200,150,64
371,120,150,100,87
372,30,200,25,2
373,60,200,25,2
374,120,300,50,15
