trial,line_length,line_angle,rating
0,250,40,1
1,50,40,2
2,150,40,3
3,100,40,4
4,200,40,5
5,300,40,6
6,75,40,7
7,75,40,3
8,75,20,5
9,75,70,2
10,75,60,4
11,75,50,3
12,75,30,1
