trial,line_length,stim_radius,stim_period,rating
317,150,200,50,45
318,150,300,25,29
319,60,200,50,45
320,60,150,25,33
321,120,350,100,40
322,120,350,200,41
323,120,300,100,42
324,120,300,25,10
325,90,350,50,19
326,90,200,50,12
327,60,300,25,16
328,60,250,100,22
329,90,250,150,13
330,60,350,25,6
331,90,350,200,18
332,120,300,200,19
333,150,350,100,49
334,30,150,25,0
335,90,150,150,63
336,90,200,150,71
337,150,300,150,73
338,30,250,25,0
339,150,250,50,69
340,120,150,150,78
341,90,350,100,45
342,60,250,50,30
343,150,150,200,61
344,150,200,200,71
345,30,250,150,62
346,30,300,100,41
347,90,300,25,11
348,150,250,25,4
349,120,250,100,20
350,30,150,50,0
351,30,250,200,9
352,120,150,100,26
353,90,200,100,26
354,90,350,150,28
355,120,200,150,36
356,30,350,50,12
357,120,150,50,77
358,150,350,25,11
359,30,250,100,14
360,90,150,50,32
361,30,350,200,15
362,60,200,25,5
363,60,250,25,10
364,90,150,25,24
365,30,200,50,10
366,90,150,100,74
367,60,150,150,59
368,60,300,100,43
369,120,200,50,78
370,120,300,50,55
371,30,200,200,33
372,90,150,200,74
373,150,300,200,62
374,30,200,25,6
